,100,200,300,400,500,600,700,800,900,1000
2000,16356,28492,53116,53212,53288,102356,102220,102352,102368,102360
4000,17548,29640,54224,54428,54428,103564,103580,103416,103424,103428
6000,18572,30956,55376,55600,55432,104744,104748,104544,104532,104592
8000,19852,32272,56904,56860,56916,106080,105872,106012,105924,106052
10000,21152,33372,58036,57876,58036,106984,107028,107144,107124,107188
12000,22228,34676,59244,59192,59180,108396,108408,108184,108244,108328
14000,23356,35700,60260,60124,60072,109396,109416,109428,109372,109432
16000,24496,36628,61360,61364,61276,110356,110344,110428,110296,110428
18000,25816,38248,62772,62684,62692,111976,111784,111992,112004,111976
20000,26864,39360,63884,63732,63776,113096,113004,113092,112924,112888
