,100,200,300,400,500,600,700,800,900,1000
2000,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328
4000,3492,3492,3492,3492,3492,3492,3492,3492,3492,3492
6000,4864,4864,4864,4864,4864,4864,4864,4864,4864,4864
8000,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964
10000,7332,7332,7332,7332,7332,7332,7332,7332,7332,7332
12000,8636,8636,8636,8636,8636,8636,8636,8636,8636,8636
14000,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752
16000,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860
18000,12560,12560,12560,12560,12560,12560,12560,12560,12560,12560
20000,13672,13672,13672,13672,13672,13672,13672,13672,13672,13672
