m|n - time (s),100,200,300,400,500,600,700,800,900,1000
2000,0.64,2.47,0.2,2.3,2.86,3.45,4.03,4.52,5.78,5.59
4000,0.11,0.12,0.24,4.14,0.4,0.45,0.49,5.11,0.55,0.61
6000,0.12,0.12,0.23,0.26,0.3,0.44,0.48,0.54,8.36,0.62
8000,0.08,2.2,0.31,0.25,0.28,0.45,0.48,0.51,0.55,0.58
10000,0.13,1.56,0.34,0.34,0.31,0.47,5.13,0.5,0.54,0.58
12000,0.1,0.14,0.23,0.27,0.29,0.45,0.5,7.54,0.57,0.59
14000,0.86,0.2,0.26,0.28,0.34,0.47,0.53,0.55,0.57,0.63
16000,0.09,1.69,0.24,0.31,0.32,0.49,4.76,0.57,0.57,0.63
18000,0.09,0.15,3.35,0.36,0.31,0.49,0.63,4.79,0.68,0.62
20000,0.1,0.18,0.26,0.33,0.32,0.55,0.55,5.7,0.71,0.87
